window,summary_level,summary_key,method,n_points,mae,rmse,bias,max_abs_error,n_queries,n_not_applicable_queries
H60_H240,per_regime,G2,M2,185,0.11027327327327326,0.14127445625628512,0.10088188188188185,0.3025925925925924,5,0
H60_H240,per_regime,G2,M3_B1400,185,0.03194511084925517,0.039351879424282483,0.026067185514969088,0.11408756421018984,5,0
H60_H240,per_regime,G2,M3_B2000,185,0.030126759844936842,0.0375810908596159,0.023175643021611382,0.11064450461794517,5,0
H60_H240,per_rho,0.95,M0,74,0.6550483243243244,0.657669027068101,-0.6550483243243244,0.75098,3,1
H60_H240,per_rho,0.95,M1,111,0.17662162162162165,0.21891676397560225,0.17662162162162165,0.39,3,0
H60_H240,per_rho,0.95,M2,111,0.12445278611945279,0.1540222477146164,0.12445278611945279,0.3025925925925924,3,0
H60_H240,per_rho,0.95,M3_B1400,111,0.04629348282131016,0.05108617049934953,0.04629348282131016,0.11408756421018984,3,0
H60_H240,per_rho,0.95,M3_B2000,111,0.04317563345360431,0.04802367953471233,0.04317563345360431,0.11064450461794517,3,0
H60_H240,per_rho,0.975,M0,74,0.5840392972972973,0.587754978018764,-0.5840392972972973,0.702088,3,1
H60_H240,per_rho,0.975,M1,111,0.18198198198198198,0.2258268091873676,0.18198198198198198,0.405,3,0
H60_H240,per_rho,0.975,M2,111,0.0950450450450451,0.11324427413184449,0.0950450450450451,0.2131481481481483,3,0
H60_H240,per_rho,0.975,M3_B1400,111,0.03496080641865815,0.03875080504030406,0.03496080641865815,0.08445083281463106,3,0
H60_H240,per_rho,0.975,M3_B2000,111,0.03150892626454947,0.035832211046277526,0.03150892626454947,0.0831609727398045,3,0
H60_H240,per_rho,0.983333333333333,M0,74,0.5362165945945945,0.5408805930459418,-0.5362165945945945,0.664952,3,1
H60_H240,per_rho,0.983333333333333,M1,111,0.1851351351351352,0.2278196694796167,0.1851351351351352,0.42000000000000004,3,0
H60_H240,per_rho,0.983333333333333,M2,111,0.05603603603603604,0.06442157269049557,0.05603603603603604,0.12277777777777776,3,0
H60_H240,per_rho,0.983333333333333,M3_B1400,111,0.02844407748456337,0.03184223865788073,0.027649992053652088,0.0658180377566372,3,0
H60_H240,per_rho,0.983333333333333,M3_B2000,111,0.024183926988846992,0.02822352799719988,0.023396535446461118,0.061141865891712555,3,0
H60_H240,per_rho,0.99,M0,74,0.5217487837837838,0.526091068779228,-0.5217487837837838,0.667635,3,1
H60_H240,per_rho,0.99,M1,111,0.18211711711711712,0.22701698551366528,0.18211711711711712,0.43500000000000005,3,0
H60_H240,per_rho,0.99,M2,111,0.020031698365031703,0.024683809740451507,0.004552886219552887,0.07277777777777772,3,0
H60_H240,per_rho,0.99,M3_B1400,111,0.021629354047224342,0.027021645166477676,0.016377260655281597,0.06795880928100273,3,0
H60_H240,per_rho,0.99,M3_B2000,111,0.02059110520312551,0.024898918276556926,0.012077565210046921,0.06113911312456932,3,0
H60_H240,per_rho,0.995,M0,37,0.5542113783783783,0.5581654723290856,-0.5542113783783783,0.666774,3,2
H60_H240,per_rho,0.995,M1,111,0.20000000000000007,0.2526543770335955,0.20000000000000007,0.5349999999999999,3,0
H60_H240,per_rho,0.995,M2,111,0.045201868535201854,0.0548240011600938,-0.043213213213213204,0.11611111111111105,3,0
H60_H240,per_rho,0.995,M3_B1400,111,0.020514505276050313,0.023378482536792013,0.015920194506434802,0.05005175218380975,3,0
H60_H240,per_rho,0.995,M3_B2000,111,0.018277071218670497,0.021431519172902397,0.012183317149492195,0.048126975458521626,3,0
H60_H240,per_rho_x_regime,rho=0.95|G0,M0,37,0.7080212972972973,0.7084698079377112,-0.7080212972972973,0.75098,1,0
H60_H240,per_rho_x_regime,rho=0.95|G0,M1,37,0.038108108108108135,0.03959251908590271,0.038108108108108135,0.06000000000000005,1,0
H60_H240,per_rho_x_regime,rho=0.95|G0,M2,37,0.027117117117117166,0.0275236961570652,0.027117117117117166,0.040000000000000036,1,0
H60_H240,per_rho_x_regime,rho=0.95|G0,M3_B1400,37,0.02645340523523813,0.02685666418811536,0.02645340523523813,0.036103044338095636,1,0
H60_H240,per_rho_x_regime,rho=0.95|G0,M3_B2000,37,0.02466238078572004,0.025021558808698455,0.02466238078572004,0.0339986802981892,1,0
H60_H240,per_rho_x_regime,rho=0.95|G1,M0,37,0.6020753513513513,0.602600721514759,-0.6020753513513513,0.64098,1,0
H60_H240,per_rho_x_regime,rho=0.95|G1,M1,37,0.14405405405405403,0.14480648783434713,0.14405405405405403,0.18999999999999995,1,0
H60_H240,per_rho_x_regime,rho=0.95|G1,M2,37,0.10286286286286288,0.10342543640212036,0.10286286286286288,0.1399999999999998,1,0
H60_H240,per_rho_x_regime,rho=0.95|G1,M3_B1400,37,0.05507342848324796,0.0570962999386106,0.05507342848324796,0.08089593437109777,1,0
H60_H240,per_rho_x_regime,rho=0.95|G1,M3_B2000,37,0.04925249640886532,0.051695303557685285,0.04925249640886532,0.07515328929498521,1,0
H60_H240,per_rho_x_regime,rho=0.95|G2,M0,0,,,,,1,1
H60_H240,per_rho_x_regime,rho=0.95|G2,M1,37,0.34770270270270276,0.34819127238080244,0.34770270270270276,0.39,1,0
H60_H240,per_rho_x_regime,rho=0.95|G2,M2,37,0.24337837837837836,0.24436485759632562,0.24337837837837836,0.3025925925925924,1,0
H60_H240,per_rho_x_regime,rho=0.95|G2,M3_B1400,37,0.0573536147454444,0.06203323763010315,0.0573536147454444,0.11408756421018984,1,0
