rho_global,regime,horizon,scale,A_G_l_max,A_G_c_max,A_G_q_min,sigma_m1,sigma_m2_mean,sigma_m2_min,sigma_m2_max,sigma_m2_std_population,sigma_m2_median,sigma_m2_q25,sigma_m2_q75,m2_argmin_variant_id,m2_argmax_variant_id,sigma_m0_raw_product,m0_status,sigma_m0,m0_induced_l_max,m0_induced_c_max,m0_induced_q_min,sigma_m3_B1400,retained_mass,deterministic_truncation_abs_error_bound,m3_B1400_mc_var_bound,m3_B1400_mc_se_bound,m3_B1400_graph_trajectories,sigma_m3_B2000,m3_B2000_mc_var_bound,m3_B2000_mc_se_bound,m3_B2000_graph_trajectories,sigma_whitebox,error_m0,error_m1,error_m2,error_m3_B1400,error_m3_B2000
0.95,G0,50.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9833333333333334,0.97,1.0,0.0124721912892464,0.98,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.25347,PREDICTED,0.25347,0.4544354158545245,2.305892852484944,0.5,0.9609574214194806,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9606415405239334,0.0001250433740121,0.0111822794640522,2000,0.955,-0.70153,0.04500000000000004,0.028333333333333433,0.005957421419480635,0.005641540523933397
0.95,G0,55.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666666,0.97,1.0,0.0124721912892464,0.99,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.2368799999999999,PREDICTED,0.2368799999999999,0.4544354158545245,2.305892852484944,0.5,0.9612508386121724,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9609341713527808,0.0001250433740121,0.0111822794640522,2000,0.94,-0.7031200000000001,0.06000000000000005,0.046666666666666634,0.021250838612172473,0.02093417135278086
0.95,G0,60.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.229548,PREDICTED,0.229548,0.4544354158545245,2.305892852484944,0.5,0.9605349174338104,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9604344644058797,0.0001250433740121,0.0111822794640522,2000,0.94,-0.710452,0.06000000000000005,0.040000000000000036,0.020534917433810418,0.020434464405879704
0.95,G0,65.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.27716,PREDICTED,0.27716,0.4544354158545245,2.305892852484944,0.5,0.9676940270933444,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9674461327774064,0.0001250433740121,0.0111822794640522,2000,0.945,-0.66784,0.05500000000000005,0.03500000000000003,0.02269402709334445,0.02244613277740648
0.95,G0,70.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.25272,PREDICTED,0.25272,0.4544354158545245,2.305892852484944,0.5,0.9688340758140256,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.96715141263489,0.0001250433740121,0.0111822794640522,2000,0.945,-0.69228,0.05500000000000005,0.03500000000000003,0.023834075814025635,0.022151412634890066
0.95,G0,75.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.981111111111111,0.95,1.0,0.020245407953654,0.99,0.96,1.0,M2J_A1_B2_C1,M2J_A1_B1_C3,0.220252,PREDICTED,0.220252,0.4544354158545245,2.305892852484944,0.5,0.967401487903342,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9651516877866232,0.0001250433740121,0.0111822794640522,2000,0.945,-0.724748,0.05500000000000005,0.036111111111111094,0.022401487903342066,0.02015168778662324
0.95,G0,80.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.234393,PREDICTED,0.234393,0.4544354158545245,2.305892852484944,0.5,0.9674010820141798,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9651522781713124,0.0001250433740121,0.0111822794640522,2000,0.95,-0.715607,0.050000000000000044,0.030000000000000027,0.01740108201417989,0.015152278171312483
0.95,G0,85.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.31122,PREDICTED,0.31122,0.4544354158545245,2.305892852484944,0.5,0.9760831044279508,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9731992994412754,0.0001250433740121,0.0111822794640522,2000,0.955,-0.64378,0.04500000000000004,0.025000000000000022,0.021083104427950805,0.018199299441275407
0.95,G0,90.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9774074074074072,0.94,1.0,0.02532640147745,0.99,0.945,1.0,M2J_A1_B2_C1,M2J_A1_B1_C3,0.2703,PREDICTED,0.2703,0.4544354158545245,2.305892852484944,0.5,0.9767990256063128,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.974198719076892,0.0001250433740121,0.0111822794640522,2000,0.95,-0.6797,0.050000000000000044,0.027407407407407214,0.026799025606312865,0.024198719076892083
0.95,G0,95.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9792592592592592,0.94,1.0,0.0227589503640551,0.99,0.95,1.0,M2J_A2_B2_C1,M2J_A1_B1_C3,0.25344,PREDICTED,0.25344,0.4544354158545245,2.305892852484944,0.5,0.9810937494411318,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9787005611604984,0.0001250433740121,0.0111822794640522,2000,0.95,-0.69656,0.050000000000000044,0.029259259259259207,0.031093749441131857,0.02870056116049846
