replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
144,0.029512226512226524,0.05608236808236807,0.04452201689865597,-0.011560351183712105,0.015009790386429443
145,0.03410810810810812,0.06214543114543117,0.05374612070291721,-0.008399310442513956,0.019638012594809094
146,0.026926640926640946,0.07151093951093952,0.06053672382718433,-0.010974215683755194,0.03361008290054338
147,0.0275830115830116,0.04650965250965249,0.03736468351538117,-0.009144968994271321,0.009781671932369573
148,0.03150707850707852,0.04707335907335909,0.03687001974880856,-0.010203339324550531,0.005362941241730042
149,0.030812097812097827,0.05021364221364223,0.04224524171845947,-0.007968400495182763,0.011433143906361642
150,0.03382368082368084,0.04900257400257401,0.04011030455448128,-0.00889226944809273,0.006286623730800439
151,0.029833976833976844,0.04486229086229088,0.03351134178919215,-0.011350949073098728,0.003677364955215305
152,0.025548262548262562,0.05143629343629343,0.04036707931053236,-0.011069214125761076,0.014818816762269794
153,0.028082368082368102,0.08586357786357787,0.07898031439413683,-0.006883263469441042,0.05089794631176873
154,0.023716859716859735,0.04195366795366797,0.03306031564835949,-0.00889335230530848,0.009343455931499756
155,0.030546975546975563,0.036948519948519956,0.031130580697822905,-0.005817939250697051,0.0005836051508473425
156,0.026779922779922798,0.07044272844272849,0.05991721479568914,-0.010525513647039346,0.033137292015766345
157,0.02669369369369371,0.08345559845559847,0.07456929315382504,-0.008886305301773423,0.047875599460131334
158,0.03311068211068213,0.04277606177606182,0.03242798187292142,-0.010348079903140406,-0.0006827002377607153
159,0.03445173745173747,0.046373230373230406,0.044188689807452164,-0.0021845405657782424,0.009736952355714694
160,0.024920205920205933,0.032877734877734884,0.031471844604086564,-0.0014058902736483192,0.006551638683880631
161,0.027577863577863595,0.07146460746460745,0.0603067815036119,-0.01115782596099555,0.03272891792574831
162,0.025918918918918933,0.07392020592020589,0.06118910865524008,-0.012731097264965803,0.03527018973632115
163,0.036289575289575306,0.05426254826254825,0.04333224280854839,-0.01093030545399986,0.007042667518973082
164,0.03035649935649937,0.062414414414414414,0.0507913145983213,-0.011623099816093115,0.02043481524182193
165,0.028589446589446607,0.06085585585585583,0.04977186925275727,-0.011083986603098561,0.021182422663310663
166,0.03200514800514802,0.049751608751608715,0.04009491479998297,-0.009656693951625744,0.008089766794834953
167,0.0333783783783784,0.05613770913770911,0.045619276982758514,-0.010518432154950595,0.012240898604380115
168,0.025517374517374538,0.06163706563706567,0.050228698699705344,-0.011408366937360324,0.024711324182330806
169,0.034913770913770924,0.05954568854568858,0.04753881684995912,-0.012006871695729456,0.012625045936188198
170,0.034271557271557285,0.04471557271557272,0.035203195122444166,-0.009512377593128556,0.0009316378508868808
171,0.026842985842985858,0.050917631917631934,0.041070391832404046,-0.009847240085227887,0.014227405989418188
172,0.024536679536679554,0.05648133848133848,0.04422322912072092,-0.01225810936061756,0.01968654958404137
173,0.03453925353925356,0.040048906048906055,0.03304840218406124,-0.007000503864844812,-0.0014908513551923144
174,0.03011969111969114,0.0785045045045045,0.06780685207279316,-0.010697652431711335,0.037687160953102025
175,0.024265122265122285,0.0707528957528958,0.06162356713640763,-0.009129328616488165,0.03735844487128535
176,0.028316602316602334,0.05362162162162164,0.04106919159526184,-0.0125524300263598,0.012752589278659503
177,0.02834491634491636,0.05756499356499354,0.04554628118664591,-0.012018712378347632,0.017201364841729547
178,0.02751994851994854,0.05456628056628056,0.04323813057576289,-0.01132814999051767,0.015718182055814347
179,0.03736422136422139,0.039375804375804374,0.03253415169597243,-0.006841652679831944,-0.0048300696682489624
180,0.03185199485199487,0.06708108108108106,0.054342952111746425,-0.012738128969334635,0.022490957259751553
181,0.0320797940797941,0.05939768339768342,0.04680669448890943,-0.012590988908773991,0.014726900409115333
182,0.03382496782496784,0.05861261261261263,0.04930027342626519,-0.00931233918634744,0.015475305601297347
183,0.025833976833976854,0.053034749034748994,0.043224061165574645,-0.009810687869174349,0.01739008433159779
184,0.02813256113256115,0.039810810810810796,0.03027249331032035,-0.009538317500490445,0.0021399321777592004
185,0.025734877734877756,0.04648777348777349,0.03700480304356713,-0.00948297044420636,0.011269925308689376
186,0.03462290862290864,0.07158687258687262,0.06114213976567988,-0.010444732821192737,0.026519231142771237
187,0.03203603603603605,0.05900514800514803,0.04803505505877125,-0.010970092946376776,0.0159990190227352
188,0.0286833976833977,0.05500514800514803,0.04235282878202086,-0.012652319223127172,0.013669431098623161
189,0.0260772200772201,0.059812097812097814,0.047580972370759915,-0.0122311254413379,0.021503752293539815
190,0.0345830115830116,0.03589446589446589,0.0319716789346652,-0.003922786959800688,-0.0026113326483463983
191,0.026796653796653816,0.07084169884169884,0.05823550966583506,-0.012606189175863786,0.03143885586918124
192,0.03480180180180183,0.05811711711711713,0.04858098028329068,-0.009536136833826453,0.013779178481488852
193,0.024722007722007736,0.05466409266409266,0.04434874932716752,-0.010315343336925138,0.019626741605159786
194,0.025226512226512243,0.09292921492921494,0.08231634295342483,-0.010612871975790111,0.05708983072691258
195,0.030301158301158322,0.04594980694980697,0.03736218619873,-0.008587620751076969,0.007061027897571681
196,0.02736422136422138,0.09071685971685972,0.08068242471608159,-0.010034435000778136,0.0533182033518602
197,0.03280180180180182,0.051123552123552136,0.04223472970218593,-0.008888822421366203,0.009432927900384115
198,0.0312831402831403,0.06403732303732307,0.054180657891418044,-0.009856665145905025,0.022897517608277747
199,0.027580437580437597,0.062042471042471035,0.0524157827220392,-0.009626688320431835,0.024835345141601604
200,0.0278906048906049,0.036728442728442785,0.028137581689540014,-0.008590861038902772,0.00024697679893511196
201,0.025934362934362958,0.0483063063063063,0.0416060626454303,-0.006700243660876001,0.01567169971106734
202,0.03321750321750324,0.04794594594594594,0.03847080309422744,-0.0094751428517185,0.005253299876724203
203,0.02843758043758046,0.0486306306306306,0.04025753881000975,-0.008373091820620848,0.01181995837242929
204,0.02750321750321752,0.06306563706563709,0.05134641452257802,-0.011719222543059064,0.023843197019360503
205,0.0300888030888031,0.07716216216216222,0.06369511268834012,-0.013467049473822101,0.03360630959953702
206,0.028772200772200787,0.06322007722007719,0.04827284046013095,-0.01494723675994624,0.019500639687930164
207,0.028148005148005167,0.04969498069498071,0.039480505926002316,-0.010214474768978396,0.011332500777997148
