provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,60.0,0.95,0.9833333333333332,0.0,0.18,0.0049504950495049506,0.18316831683168316,0.1785065760060063,0.18
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,65.0,0.95,0.9833333333333332,0.0,0.22,0.0049504950495049506,0.22277227722772278,0.2269911740351187,0.22
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,70.0,0.95,0.9833333333333332,0.0,0.18,0.0049504950495049506,0.18316831683168316,0.1785065760060063,0.18
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,75.0,0.95,0.9833333333333332,0.0,0.2,0.0049504950495049506,0.20297029702970298,0.20241800540243987,0.2
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,80.0,0.95,0.9833333333333332,0.0,0.15,0.0049504950495049506,0.15346534653465346,0.14384121018987361,0.15
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,85.0,0.95,0.9833333333333332,0.0,0.17,0.0049504950495049506,0.17326732673267325,0.1667929810030545,0.17
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,90.0,0.95,0.9833333333333332,0.0,0.12,0.0049504950495049506,0.12376237623762376,0.11059066558250685,0.12
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,95.0,0.95,0.9833333333333332,0.0,0.12,0.0049504950495049506,0.12376237623762376,0.11059066558250685,0.12
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,100.0,0.95,0.9833333333333332,0.0,0.14,0.0049504950495049506,0.14356435643564358,0.132600892058585,0.14
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,105.0,0.95,0.9833333333333332,0.0,0.11,0.0049504950495049506,0.11386138613861387,0.0998229966829372,0.11
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,110.0,0.95,0.9833333333333332,0.0,0.14,0.0049504950495049506,0.14356435643564358,0.132600892058585,0.14
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,115.0,0.95,0.9833333333333332,0.0,0.1,0.0049504950495049506,0.10396039603960396,0.08921713266197928,0.1
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,120.0,0.95,0.9833333333333332,0.0,0.09,0.0049504950495049506,0.09405940594059406,0.07877787534446612,0.09
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,125.0,0.95,0.9833333333333332,0.0,0.1,0.0049504950495049506,0.10396039603960396,0.08921713266197928,0.1
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,130.0,0.95,0.9833333333333332,0.0,0.1,0.0049504950495049506,0.10396039603960396,0.08921713266197928,0.1
